dataset,run_id,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec,best_gain_vs_normal,best_pct_vs_normal_after
Hop10Rep2-8,Hop10Rep2-8_random30_tdg_impact_w100,10,2,8,2048,random,30,0,614,45,tdg_impact_reroute,100,71464715,55976457,0.199721,0.004864,0.039292,0.675048,0.918925,1219520.44625,1203342.28955,22521,22521,59399349,0.00999,0.76949,0.77948,12065366,15488258,3422892,5.762507599199446,28.369566244405682,4.789625201751662,True,0.13944500000000004,0.029302,3422892,5.762507599199446
Hop10Rep2-9,Hop10Rep2-9_random30_tdg_impact_w50,10,2,9,2048,random,30,0,614,45,tdg_impact_reroute,50,68615912,56045632,0.246405,0.004765,0.048543,1.015096,1.314809,2769465.61564,2771861.2998,21547,21547,56893938,0.013487,1.022626,1.036113,11721974,12570280,848306,1.4910305558388313,7.236886892941411,1.2363109011798896,True,0.27869599999999983,0.035056000000000004,848306,1.4910305558388313
Hop10Rep4-0,Hop10Rep4-0_random30_tdg_impact_w30,10,4,0,4096,random,30,0,1228,45,tdg_impact_reroute,30,162588845,148531708,0.496453,0.010939,0.287238,2.900814,3.695444,1466714.80537,1481199.07275,46719,46719,152959380,0.024966,3.085624,3.11059,9629465,14057137,4427672,2.8946717749509707,45.98045685819513,2.723232334912029,True,0.584854,0.262272,4427672,2.8946717749509707
Hop10Rep4-1,Hop10Rep4-1_random30_tdg_impact_w100,10,4,1,4096,random,30,0,1228,45,tdg_impact_reroute,100,122760369,108335148,0.351714,0.006608,0.072918,1.964831,2.396071,1326401.47883,1333428.34229,30414,30414,112823263,0.013782,1.999284,2.013066,9937106,14425221,4488115,3.9780049616185984,45.16521208488668,3.6559966677845357,True,0.38300500000000026,0.059135999999999994,4488115,3.9780049616185984
Hop10Rep4-10,Hop10Rep4-10_random30_tdg_impact_w100,10,4,10,4096,random,30,0,1228,45,tdg_impact_reroute,100,133507556,120396651,0.426769,0.00875,0.071127,2.014622,2.521268,1626206.34121,1613237.05249,39152,39152,126840931,0.024698,2.271895,2.296593,6666625,13110905,6444280,5.0805997316434075,96.66480415502598,4.826902830877977,True,0.22467499999999996,0.046429,6444280,5.0805997316434075
Hop10Rep4-11,Hop10Rep4-11_random30_tdg_impact_w100,10,4,11,4096,random,30,0,1228,45,tdg_impact_reroute,100,140280422,132859949,0.443153,0.006151,0.066833,2.70198,3.218117,1859392.7101,1846867.30322,29370,29370,139372050,0.017527,3.020715,3.038242,908372,7420473,6512101,4.67245835875988,716.8980329644684,4.642202316728132,True,0.179875,0.049306,6512101,4.67245835875988
Hop10Rep4-12,Hop10Rep4-12_random30_tdg_impact_w50,10,4,12,4096,random,30,0,1228,45,tdg_impact_reroute,50,135147084,138630789,0.395174,0.006458,0.088325,2.851829,3.341786,1537066.57573,1561944.87402,30960,30960,141009777,0.020539,2.83305,2.853589,-5862693,-3483705,2378988,1.68710854709032,-40.57841677877385,1.7602954718579054,True,0.488197,0.067786,2378988,1.68710854709032
Hop10Rep4-13,Hop10Rep4-13_random30_tdg_impact_w5,10,4,13,4096,random,30,0,1228,45,tdg_impact_reroute,5,104258475,97200962,0.297594,0.006638,0.16095,1.656498,2.12168,1076163.46173,1104832.07959,27598,27598,97619919,0.020121,1.678843,1.698964,6638556,7057513,418957,0.42917163248209617,6.310965818470161,0.4018445502871589,True,0.4227160000000001,0.140829,418957,0.42917163248209617
Hop10Rep4-14,Hop10Rep4-14_random30_tdg_impact_w30,10,4,14,4096,random,30,0,1228,45,tdg_impact_reroute,30,133324465,116055737,0.402741,0.007099,0.101544,2.125771,2.637155,1652076.09853,1657768.05811,33864,33864,117758766,0.021678,2.203842,2.22552,15565699,17268728,1703029,1.4462014658000069,10.940909238961899,1.2773567101881864,True,0.411635,0.07986599999999999,1703029,1.4462014658000069
Hop10Rep4-15,Hop10Rep4-15_random30_tdg_impact_w100,10,4,15,4096,random,30,0,1228,45,tdg_impact_reroute,100,132597653,140053000,0.457242,0.008088,0.167729,3.132226,3.765285,2029761.87215,2027854.55127,36554,36554,141454073,0.024052,3.242367,3.266419,-8856420,-7455347,1401073,0.9904790793828891,-15.819857233509701,1.0566348410405122,True,0.49886600000000003,0.143677,1401073,0.9904790793828891
Hop10Rep4-16,Hop10Rep4-16_random30_tdg_impact_w30,10,4,16,4096,random,30,0,1228,45,tdg_impact_reroute,30,113649022,105830789,0.347002,0.007189,0.090048,1.644442,2.088681,1238773.58713,1261305.56885,33279,33279,107482111,0.017494,1.731815,1.749309,6166911,7818233,1651322,1.5363691544912064,26.77713364113735,1.4530015049315603,True,0.3393719999999998,0.07255400000000001,1651322,1.5363691544912064
Hop10Rep4-17,Hop10Rep4-17_random30_tdg_impact_w50,10,4,17,4096,random,30,0,1228,45,tdg_impact_reroute,50,144229318,133532402,0.444445,0.008845,0.221922,2.57817,3.253382,1234149.34528,1278733.75464,39963,39963,138321224,0.019242,2.649755,2.668997,5908094,10696916,4788822,3.4621020993857026,81.05527772577756,3.320283328248144,True,0.5843850000000002,0.20268,4788822,3.4621020993857026
