dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,total_before,unselected_after_remove,reduction,select_sec,evaluate_remaining_sec
Hop10Rep4-1,10,4,1,4096,random,10,0,409,122760369,108015286,14745083,0.000416,2.411358
Hop10Rep4-1,10,4,1,4096,random,30,0,1228,122760369,77074682,45685687,0.000614,1.647873
Hop10Rep4-1,10,4,1,4096,most_delayed,10,0,409,122760369,100630733,22129636,0.001711,2.182184
Hop10Rep4-1,10,4,1,4096,most_delayed,30,0,1228,122760369,64792295,57968074,0.002007,1.208882
Hop10Rep4-2,10,4,2,4096,random,10,0,409,164917060,147405822,17511238,0.000417,3.782492
Hop10Rep4-2,10,4,2,4096,random,30,0,1228,164917060,112508352,52408708,0.000614,2.744064
Hop10Rep4-2,10,4,2,4096,most_delayed,10,0,409,164917060,135518449,29398611,0.001717,3.52209
Hop10Rep4-2,10,4,2,4096,most_delayed,30,0,1228,164917060,87465114,77451946,0.00203,2.118366
Hop10Rep4-3,10,4,3,4096,random,10,0,409,93285194,82903673,10381521,0.00042,2.223758
Hop10Rep4-3,10,4,3,4096,random,30,0,1228,93285194,62128249,31156945,0.000616,1.717983
Hop10Rep4-3,10,4,3,4096,most_delayed,10,0,409,93285194,74923965,18361229,0.001731,1.92352
Hop10Rep4-3,10,4,3,4096,most_delayed,30,0,1228,93285194,45915467,47369727,0.001925,1.019962
Hop10Rep4-4,10,4,4,4096,random,10,0,409,125720190,111519920,14200270,0.000423,2.260218
Hop10Rep4-4,10,4,4,4096,random,30,0,1228,125720190,83600266,42119924,0.000613,1.671915
Hop10Rep4-4,10,4,4,4096,most_delayed,10,0,409,125720190,103605704,22114486,0.001707,2.130176
Hop10Rep4-4,10,4,4,4096,most_delayed,30,0,1228,125720190,67905074,57815116,0.001884,1.259686
Hop10Rep4-5,10,4,5,4096,random,10,0,409,118448873,104905536,13543337,0.000418,2.550296
Hop10Rep4-5,10,4,5,4096,random,30,0,1228,118448873,78429628,40019245,0.00062,1.82196
Hop10Rep4-5,10,4,5,4096,most_delayed,10,0,409,118448873,97098722,21350151,0.00177,2.300341
Hop10Rep4-5,10,4,5,4096,most_delayed,30,0,1228,118448873,62694798,55754075,0.00189,1.326576
Hop10Rep4-6,10,4,6,4096,random,10,0,409,115757936,101984545,13773391,0.000419,2.217537
Hop10Rep4-6,10,4,6,4096,random,30,0,1228,115757936,75175619,40582317,0.000613,1.519327
Hop10Rep4-6,10,4,6,4096,most_delayed,10,0,409,115757936,95042854,20715082,0.001716,2.061121
Hop10Rep4-6,10,4,6,4096,most_delayed,30,0,1228,115757936,62225001,53532935,0.001891,1.281259
Hop10Rep4-7,10,4,7,4096,random,10,0,409,166413531,148172070,18241461,0.000418,3.987007
Hop10Rep4-7,10,4,7,4096,random,30,0,1228,166413531,111786159,54627372,0.000613,2.993064
Hop10Rep4-7,10,4,7,4096,most_delayed,10,0,409,166413531,140107160,26306371,0.001777,3.659397
Hop10Rep4-7,10,4,7,4096,most_delayed,30,0,1228,166413531,95640177,70773354,0.001909,2.392286
Hop10Rep4-8,10,4,8,4096,random,10,0,409,161756694,143571668,18185026,0.000424,2.646003
Hop10Rep4-8,10,4,8,4096,random,30,0,1228,161756694,107349376,54407318,0.000614,1.908796
Hop10Rep4-8,10,4,8,4096,most_delayed,10,0,409,161756694,134367518,27389176,0.001814,2.562099
Hop10Rep4-8,10,4,8,4096,most_delayed,30,0,1228,161756694,89015843,72740851,0.001887,1.7196
Hop10Rep4-9,10,4,9,4096,random,10,0,409,153390208,136521718,16868490,0.000418,4.169122
Hop10Rep4-9,10,4,9,4096,random,30,0,1228,153390208,103197932,50192276,0.000619,3.200728
Hop10Rep4-9,10,4,9,4096,most_delayed,10,0,409,153390208,127024990,26365218,0.001714,3.690456
Hop10Rep4-9,10,4,9,4096,most_delayed,30,0,1228,153390208,84334143,69056065,0.001899,2.214204
Hop10Rep4-10,10,4,10,4096,random,10,0,409,133507556,115979655,17527901,0.000425,2.587149
Hop10Rep4-10,10,4,10,4096,random,30,0,1228,133507556,82027409,51480147,0.000619,1.700588
Hop10Rep4-10,10,4,10,4096,most_delayed,10,0,409,133507556,111048389,22459167,0.001816,2.472094
Hop10Rep4-10,10,4,10,4096,most_delayed,30,0,1228,133507556,72947299,60560257,0.001922,1.493461
Hop10Rep4-11,10,4,11,4096,random,10,0,409,140280422,124645091,15635331,0.00042,3.598582
Hop10Rep4-11,10,4,11,4096,random,30,0,1228,140280422,94757782,45522640,0.000619,2.570416
Hop10Rep4-11,10,4,11,4096,most_delayed,10,0,409,140280422,116832263,23448159,0.001701,3.304375
Hop10Rep4-11,10,4,11,4096,most_delayed,30,0,1228,140280422,77945308,62335114,0.001907,1.938446
Hop10Rep4-12,10,4,12,4096,random,10,0,409,135147084,118766614,16380470,0.000417,2.861598
Hop10Rep4-12,10,4,12,4096,random,30,0,1228,135147084,87503899,47643185,0.000614,2.03331
Hop10Rep4-12,10,4,12,4096,most_delayed,10,0,409,135147084,110330975,24816109,0.001707,2.671852
Hop10Rep4-12,10,4,12,4096,most_delayed,30,0,1228,135147084,71951984,63195100,0.001882,1.700092
Hop10Rep4-13,10,4,13,4096,random,10,0,409,104258475,91814858,12443617,0.000417,1.995179
Hop10Rep4-13,10,4,13,4096,random,30,0,1228,104258475,68031964,36226511,0.000619,1.442946
Hop10Rep4-13,10,4,13,4096,most_delayed,10,0,409,104258475,83431616,20826859,0.001717,1.818927
Hop10Rep4-13,10,4,13,4096,most_delayed,30,0,1228,104258475,51780916,52477559,0.001908,1.009903
Hop10Rep4-14,10,4,14,4096,random,10,0,409,133324465,117702617,15621848,0.00042,2.917101
Hop10Rep4-14,10,4,14,4096,random,30,0,1228,133324465,86758250,46566215,0.00062,2.10447
Hop10Rep4-14,10,4,14,4096,most_delayed,10,0,409,133324465,109879281,23445184,0.001762,2.63885
Hop10Rep4-14,10,4,14,4096,most_delayed,30,0,1228,133324465,72458232,60866233,0.001914,1.616265
Hop10Rep4-15,10,4,15,4096,random,10,0,409,132597653,117312113,15285540,0.000416,3.70431
Hop10Rep4-15,10,4,15,4096,random,30,0,1228,132597653,86446439,46151214,0.000619,2.434537
Hop10Rep4-15,10,4,15,4096,most_delayed,10,0,409,132597653,110514105,22083548,0.00184,3.415561
Hop10Rep4-15,10,4,15,4096,most_delayed,30,0,1228,132597653,73719491,58878162,0.00205,1.902782
Hop10Rep4-16,10,4,16,4096,random,10,0,409,113649022,99244457,14404565,0.000425,2.224387
Hop10Rep4-16,10,4,16,4096,random,30,0,1228,113649022,72931927,40717095,0.000621,1.445754
Hop10Rep4-16,10,4,16,4096,most_delayed,10,0,409,113649022,93027079,20621943,0.001849,2.064193
Hop10Rep4-16,10,4,16,4096,most_delayed,30,0,1228,113649022,59098376,54550646,0.00206,1.128216
Hop10Rep4-17,10,4,17,4096,random,10,0,409,144229318,126165638,18063680,0.000419,2.897808
Hop10Rep4-17,10,4,17,4096,random,30,0,1228,144229318,93010082,51219236,0.000614,2.180871
Hop10Rep4-17,10,4,17,4096,most_delayed,10,0,409,144229318,118220050,26009268,0.001837,2.733763
Hop10Rep4-17,10,4,17,4096,most_delayed,30,0,1228,144229318,78198841,66030477,0.002026,1.821958
Hop10Rep4-18,10,4,18,4096,random,10,0,409,129989088,116374766,13614322,0.000423,3.253263
Hop10Rep4-18,10,4,18,4096,random,30,0,1228,129989088,88943260,41045828,0.000621,2.474467
Hop10Rep4-18,10,4,18,4096,most_delayed,10,0,409,129989088,107357972,22631116,0.001711,3.036518
Hop10Rep4-18,10,4,18,4096,most_delayed,30,0,1228,129989088,70154445,59834643,0.001883,2.027876
Hop10Rep4-19,10,4,19,4096,random,10,0,409,132300937,116774151,15526786,0.000419,2.713144
Hop10Rep4-19,10,4,19,4096,random,30,0,1228,132300937,84986391,47314546,0.000618,1.821352
Hop10Rep4-19,10,4,19,4096,most_delayed,10,0,409,132300937,110400423,21900514,0.001821,2.592594
Hop10Rep4-19,10,4,19,4096,most_delayed,30,0,1228,132300937,72994120,59306817,0.002024,1.558395
Hop20Rep1-0,20,1,0,1024,random,10,0,102,61370530,53202018,8168512,0.000114,1.661866
Hop20Rep1-0,20,1,0,1024,random,30,0,307,61370530,36563700,24806830,0.00018,0.844973
Hop20Rep1-0,20,1,0,1024,most_delayed,10,0,102,61370530,52089711,9280819,0.000419,1.635758
Hop20Rep1-0,20,1,0,1024,most_delayed,30,0,307,61370530,35782336,25588194,0.000724,0.927436
Hop20Rep1-1,20,1,1,1024,random,10,0,102,58798641,47464421,11334220,0.000114,0.929825
Hop20Rep1-1,20,1,1,1024,random,30,0,307,58798641,32721915,26076726,0.000163,0.570541
Hop20Rep1-1,20,1,1,1024,most_delayed,10,0,102,58798641,47530530,11268111,0.000425,0.877497
Hop20Rep1-1,20,1,1,1024,most_delayed,30,0,307,58798641,31595980,27202661,0.000455,0.558537
Hop20Rep1-2,20,1,2,1024,random,10,0,102,36432327,30523464,5908863,0.000114,0.485966
Hop20Rep1-2,20,1,2,1024,random,30,0,307,36432327,20578894,15853433,0.000174,0.294784
Hop20Rep1-2,20,1,2,1024,most_delayed,10,0,102,36432327,29891106,6541221,0.000407,0.466915
Hop20Rep1-2,20,1,2,1024,most_delayed,30,0,307,36432327,19673100,16759227,0.000452,0.257574
Hop20Rep1-3,20,1,3,1024,random,10,0,102,44243807,36066120,8177687,0.000113,0.642032
Hop20Rep1-3,20,1,3,1024,random,30,0,307,44243807,25260526,18983281,0.000171,0.398936
Hop20Rep1-3,20,1,3,1024,most_delayed,10,0,102,44243807,36596661,7647146,0.000403,0.636594
Hop20Rep1-3,20,1,3,1024,most_delayed,30,0,307,44243807,23888837,20354970,0.000443,0.401659
Hop20Rep1-4,20,1,4,1024,random,10,0,102,41765029,36149489,5615540,0.000115,0.696557
Hop20Rep1-4,20,1,4,1024,random,30,0,307,41765029,25625404,16139625,0.000173,0.439527
Hop20Rep1-4,20,1,4,1024,most_delayed,10,0,102,41765029,35360041,6404988,0.000404,0.695053
Hop20Rep1-4,20,1,4,1024,most_delayed,30,0,307,41765029,24816942,16948087,0.000444,0.453319
Hop20Rep1-5,20,1,5,1024,random,10,0,102,39126666,33778065,5348601,0.000115,0.551347
Hop20Rep1-5,20,1,5,1024,random,30,0,307,39126666,24406191,14720475,0.00016,0.383641
