run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec
Hop10Rep1-6_random30_tdg_impact_w5,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,5,14713545,13109005,0.0652,0.002309,0.036424,0.160042,0.263975,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1604540,210109,1.5774998246880385,15.067722963703476,1.42799712781658,True,0.09548100000000001,0.029705
Hop10Rep1-6_random30_tdg_impact_w50,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,50,14713545,13172278,0.0652,0.002309,0.032649,0.155554,0.255712,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1541267,146836,1.1024457032201993,10.530173239120472,0.9979648004610717,True,0.08721799999999999,0.025929999999999998
Hop10Rep1-7_random30_tdg_impact_w0,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,0,29930878,24637480,0.099684,0.002673,0.034716,0.297116,0.434189,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5293398,0,0.0,0.0,0.0,False,0.09936800000000001,0.020891999999999997
Hop10Rep1-7_random30_tdg_impact_w100,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,100,29930878,24863463,0.099684,0.002673,0.033529,0.276527,0.412413,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5067415,-225983,-0.9172326065815173,-4.269148097309139,-0.7550162744975273,False,0.077592,0.019705000000000004
Hop10Rep1-7_random30_tdg_impact_w15,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,15,29930878,24181486,0.099684,0.002673,0.036191,0.284387,0.422935,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5749392,455994,1.8508142878248912,8.61439098288094,1.5234902230398988,True,0.08811400000000003,0.022367
Hop10Rep1-7_random30_tdg_impact_w30,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,30,29930878,24185758,0.099684,0.002673,0.030528,0.280316,0.413201,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5745120,451722,1.8334748521358517,8.533686679142585,1.509217337359766,True,0.07838,0.016704
Hop10Rep1-7_random30_tdg_impact_w5,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,5,29930878,24393322,0.099684,0.002673,0.03805,0.287939,0.428346,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5537556,244158,0.9910023265366426,4.612500325877631,0.8157395182326426,True,0.09352500000000002,0.024226
Hop10Rep1-7_random30_tdg_impact_w50,Hop10Rep1-7,10,1,7,1024,random,30,0,307,45,tdg_impact_reroute,50,29930878,24276947,0.099684,0.002673,0.037681,0.274389,0.414427,1443061.83062,1493847.52344,12157,12157,24637480,0.013824,0.320997,0.334821,5293398,5653931,360533,1.4633517713662274,6.8109936188437,1.2045520348584495,True,0.07960600000000001,0.023857
Hop10Rep1-8_random30_tdg_impact_w0,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,0,23006298,19053190,0.090678,0.003008,0.046604,0.233986,0.374276,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,3953108,0,0.0,0.0,0.0,False,0.135736,0.039888
Hop10Rep1-8_random30_tdg_impact_w100,Hop10Rep1-8,10,1,8,1024,random,30,0,307,45,tdg_impact_reroute,100,23006298,18423638,0.090678,0.003008,0.031603,0.204438,0.329727,919641.140065,932298.420898,12596,12596,19053190,0.006716,0.231824,0.23854,3953108,4582660,629552,3.304181609483766,15.925494572877847,2.736433301872383,True,0.09118699999999999,0.024887
