run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,total_after,tdg_prepare_sec,reroute_sec,evaluate_after_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-13_random10_tdg_impact_w30,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,30,14008382,13137903,0.059994,0.02251,0.15288,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-13_random10_tdg_impact_w50,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,50,14008382,13189480,0.059994,0.022555,0.153446,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-13_random10_tdg_impact_w100,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,100,14008382,13306309,0.059994,0.022193,0.153207,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-14_random10_normal_td_dijkstra,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,normal_td_dijkstra,-1,19923136,18201041,0,0.012538,0.237374,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w0,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,0,19923136,18201041,0.080768,0.031836,0.229984,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w5,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,5,19923136,18264531,0.080768,0.028985,0.225305,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w15,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,15,19923136,18272329,0.080768,0.028281,0.224095,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w30,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,30,19923136,18340007,0.080768,0.029339,0.225075,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w50,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,50,19923136,18360677,0.080768,0.027588,0.225613,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-14_random10_tdg_impact_w100,Hop10Rep1-14,10,1,14,1024,random,10,0,102,45,tdg_impact_reroute,100,19923136,18417289,0.080768,0.025838,0.227237,5422586.52941,4640826.75293,10606,10606
Hop10Rep1-15_random10_normal_td_dijkstra,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,normal_td_dijkstra,-1,19115140,18426844,0,0.009874,0.259551,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w0,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,0,19115140,18426844,0.081591,0.03315,0.248698,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w5,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,5,19115140,18470332,0.081591,0.033577,0.247611,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w15,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,15,19115140,18381036,0.081591,0.029118,0.244362,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w30,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,30,19115140,18478863,0.081591,0.021481,0.245256,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w50,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,50,19115140,18532949,0.081591,0.028541,0.243507,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-15_random10_tdg_impact_w100,Hop10Rep1-15,10,1,15,1024,random,10,0,102,45,tdg_impact_reroute,100,19115140,18893252,0.081591,0.027581,0.246151,5204306.17647,4652399.5752,10937,10937
Hop10Rep1-16_random10_normal_td_dijkstra,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,normal_td_dijkstra,-1,15597648,14692119,0,0.011546,0.192301,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w0,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,0,15597648,14692119,0.069396,0.031254,0.183053,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w5,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,5,15597648,14565703,0.069396,0.023504,0.17722,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w15,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,15,15597648,14612457,0.069396,0.018933,0.176624,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w30,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,30,15597648,14686938,0.069396,0.024587,0.178302,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w50,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,50,15597648,14755764,0.069396,0.022999,0.178667,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-16_random10_tdg_impact_w100,Hop10Rep1-16,10,1,16,1024,random,10,0,102,45,tdg_impact_reroute,100,15597648,14829097,0.069396,0.024774,0.178747,2548607.35294,2556035.02148,9939,9939
Hop10Rep1-17_random10_normal_td_dijkstra,Hop10Rep1-17,10,1,17,1024,random,10,0,102,45,normal_td_dijkstra,-1,24413857,23509676,0,0.013184,0.340779,55507296.6569,56570328.9863,13310,13310
Hop10Rep1-17_random10_tdg_impact_w0,Hop10Rep1-17,10,1,17,1024,random,10,0,102,45,tdg_impact_reroute,0,24413857,23509676,0.097093,0.034902,0.337283,55507296.6569,56570328.9863,13310,13310
Hop10Rep1-17_random10_tdg_impact_w5,Hop10Rep1-17,10,1,17,1024,random,10,0,102,45,tdg_impact_reroute,5,24413857,23516691,0.097093,0.025436,0.331469,55507296.6569,56570328.9863,13310,13310
