run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-7_random30_tdg_impact_w30_iter1,Hop10Rep1-7,10,1,7,1024,1,random,none,30,-1,tdg_impact_reroute,30,1,307,0.2998046875,26,23596566,21129644,2466922,0,0.359566,0.111448,0,0.000164,0.002579,0.046292,0.126348,0.260804,0.907201,2.228115,1005437.2899,991674.817383,13501,13501
Hop10Rep1-7_random30_tdg_impact_w30_iter2,Hop10Rep1-7,10,1,7,1024,2,random,none,30,-1,tdg_impact_reroute,30,2,307,0.2998046875,19,21129644,20198849,930795,0,0.260795,0.106633,0,0.000165,0.002986,0.026795,0.141725,0.238635,0.777734,3.005849,509360.833876,479301.18457,14370,14370
Hop10Rep1-7_random30_tdg_impact_w30_iter3,Hop10Rep1-7,10,1,7,1024,3,random,none,30,-1,tdg_impact_reroute,30,3,307,0.2998046875,22,20198849,20061119,137730,0,0.235455,0.10307,0,0.000161,0.003201,0.027718,0.138883,0.227721,0.736209,3.742058,420529.628664,415660.787109,13979,13979
Hop10Rep1-7_random30_tdg_impact_w30_iter4,Hop10Rep1-7,10,1,7,1024,4,random,none,30,-1,tdg_impact_reroute,30,4,307,0.2998046875,19,20061119,19935003,126116,0,0.230059,0.098312,0,0.00016,0.003124,0.020067,0.150909,0.229893,0.732524,4.474582,400700.954397,402261.746094,14091,14091
Hop10Rep1-7_most_delayed10_normal_td_dijkstra_iter0,Hop10Rep1-7,10,1,7,1024,0,most_delayed,none,10,-1,normal_td_dijkstra,0,0,102,0.099609375,0,29930878,27033478,2897400,0.10566,0.533458,0,0,0.000168,0,0,0.021915,0.491807,1.153008,1.153008,1805059.48039,1493847.52344,12157,12157
Hop10Rep1-7_most_delayed10_normal_td_dijkstra_iter1,Hop10Rep1-7,10,1,7,1024,1,most_delayed,none,10,-1,normal_td_dijkstra,0,1,102,0.099609375,0,27033478,25122437,1911041,0,0.469713,0,0,0.000171,0,0,0.024265,0.420604,0.914753,2.067761,1859224,1320467.19043,12344,12344
Hop10Rep1-7_most_delayed10_normal_td_dijkstra_iter2,Hop10Rep1-7,10,1,7,1024,2,most_delayed,none,10,-1,normal_td_dijkstra,0,2,102,0.099609375,0,25122437,24078500,1043937,0,0.419467,0,0,0.000174,0,0,0.024055,0.394081,0.837777,2.905538,1465569.94118,1155364.13574,12624,12624
Hop10Rep1-7_most_delayed10_normal_td_dijkstra_iter3,Hop10Rep1-7,10,1,7,1024,3,most_delayed,none,10,-1,normal_td_dijkstra,0,3,102,0.099609375,0,24078500,23473983,604517,0,0.391369,0,0,0.000177,0,0,0.023099,0.389363,0.804008,3.709546,1140837.06863,1101225.73633,13022,13022
Hop10Rep1-7_most_delayed10_normal_td_dijkstra_iter4,Hop10Rep1-7,10,1,7,1024,4,most_delayed,none,10,-1,normal_td_dijkstra,0,4,102,0.099609375,0,23473983,22741124,732859,0,0.386104,0,0,0.000175,0,0,0.023884,0.375143,0.785306,4.494852,1073431.87255,1078076.0127,13289,13289
Hop10Rep1-7_most_delayed10_tdg_impact_w30_iter0,Hop10Rep1-7,10,1,7,1024,0,most_delayed,none,10,-1,tdg_impact_reroute,30,0,102,0.099609375,47,29930878,26960679,2970199,0.10566,0.535791,0.131534,0,0.000169,0.0025,0.025436,0.106015,0.467126,1.374231,1.374231,1805059.48039,1493847.52344,12157,12157
