dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop20Rep1-18,20,1,18,1024,30,0,307,38574680,22679814,15894866,0.00016,0.466122
Hop20Rep1-19,20,1,19,1024,10,0,102,50770777,43782445,6988332,0.000155,1.102365
Hop20Rep1-19,20,1,19,1024,30,0,307,50770777,30481405,20289372,0.00016,0.649936
Hop20Rep2-0,20,2,0,2048,10,0,204,142045298,126410552,15634746,0.000323,6.183281
Hop20Rep2-0,20,2,0,2048,30,0,614,142045298,94186007,47859291,0.000313,4.349054
Hop20Rep2-1,20,2,1,2048,10,0,204,146809443,130378042,16431401,0.000304,3.662618
Hop20Rep2-1,20,2,1,2048,30,0,614,146809443,94140270,52669173,0.00031,2.48623
Hop20Rep2-2,20,2,2,2048,10,0,204,106688017,91619387,15068630,0.000306,2.549704
Hop20Rep2-2,20,2,2,2048,30,0,614,106688017,61921334,44766683,0.000314,1.483224
Hop20Rep2-3,20,2,3,2048,10,0,204,117680534,103399950,14280584,0.000308,3.292334
Hop20Rep2-3,20,2,3,2048,30,0,614,117680534,72766754,44913780,0.000312,1.929077
Hop20Rep2-4,20,2,4,2048,10,0,204,108625639,94892652,13732987,0.000305,2.863612
Hop20Rep2-4,20,2,4,2048,30,0,614,108625639,67083861,41541778,0.000315,1.79334
Hop20Rep2-5,20,2,5,2048,10,0,204,102411834,88298652,14113182,0.000302,1.74158
Hop20Rep2-5,20,2,5,2048,30,0,614,102411834,62197352,40214482,0.000316,1.220313
Hop20Rep2-6,20,2,6,2048,10,0,204,116060563,100715585,15344978,0.000305,3.24039
Hop20Rep2-6,20,2,6,2048,30,0,614,116060563,73636878,42423685,0.00031,1.947544
Hop20Rep2-7,20,2,7,2048,10,0,204,110101353,95000994,15100359,0.000304,2.952078
Hop20Rep2-7,20,2,7,2048,30,0,614,110101353,63928524,46172829,0.000315,1.82119
Hop20Rep2-8,20,2,8,2048,10,0,204,119095184,102438375,16656809,0.000307,2.983776
Hop20Rep2-8,20,2,8,2048,30,0,614,119095184,71860768,47234416,0.000315,1.768056
Hop20Rep2-9,20,2,9,2048,10,0,204,124483855,110232071,14251784,0.000303,4.753087
Hop20Rep2-9,20,2,9,2048,30,0,614,124483855,82166662,42317193,0.000318,3.001954
Hop20Rep2-10,20,2,10,2048,10,0,204,79793659,68224027,11569632,0.000308,1.364594
Hop20Rep2-10,20,2,10,2048,30,0,614,79793659,47726847,32066812,0.000312,0.920181
Hop20Rep2-11,20,2,11,2048,10,0,204,104343545,89042632,15300913,0.000307,2.237273
Hop20Rep2-11,20,2,11,2048,30,0,614,104343545,60798446,43545099,0.000313,1.375753
Hop20Rep2-12,20,2,12,2048,10,0,204,134623649,119525024,15098625,0.000304,5.269913
Hop20Rep2-12,20,2,12,2048,30,0,614,134623649,88895831,45727818,0.000314,3.429337
