run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio,tdg_selection_sec,tdg_selected_fraction,selection_method,baseline_fraction,random_seed_baseline,baseline_selected_count,baseline_unselected_after_remove,baseline_reduction,baseline_select_sec,baseline_evaluate_remaining_sec,baseline_selected_fraction,value_vs_baseline,pct_vs_baseline_reduction,pct_of_total_before,time_extra_vs_baseline_sec,tdg_better,tdg_remaining_count,baseline_remaining_count,tdg_remaining_avg_query_tt,baseline_remaining_avg_query_tt,avg_query_tt_value_vs_baseline,pct_avg_query_tt_vs_baseline,tdg_avg_query_tt_better
Hop20Rep1-13_gamma50_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,405,21153,29471527,13450477,13928997,0.144897,0.263432,9.4e-05,6177958.22222,5545130.78272,5727123.50879,21153,21153,138,13.4,1.2464286144,0.408329,0.3955078125,random,10,0,102,25111070,4360457,0.000114,0.444341,0.099609375,11660593,267.4167638850698,39.56562210027326,0.408215,True,619,922,21729.365105008077,27235.433839479392,5506.068734471315,20.216563345100596,True
Hop20Rep1-13_gamma50_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,405,21153,29471527,13450477,13928997,0.144897,0.263432,9.4e-05,6177958.22222,5545130.78272,5727123.50879,21153,21153,138,13.4,1.2464286144,0.408329,0.3955078125,random,30,0,307,17285462,12186065,0.00018,0.285797,0.2998046875,3834985,31.47024900983213,13.012508649450027,0.408149,True,619,717,21729.365105008077,24108.036262203626,2378.6711571955493,9.86671469764134,True
Hop20Rep1-13_gamma50_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,405,21153,29471527,13450477,13928997,0.144897,0.263432,9.4e-05,6177958.22222,5545130.78272,5727123.50879,21153,21153,138,13.4,1.2464286144,0.408329,0.3955078125,most_delayed,10,0,102,24060133,5411394,0.000405,0.410506,0.099609375,10609656,196.0614215117214,35.999681998153676,0.407924,True,619,922,21729.365105008077,26095.588937093275,4366.2238320851975,16.73165469693186,True
Hop20Rep1-13_gamma50_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,405,21153,29471527,13450477,13928997,0.144897,0.263432,9.4e-05,6177958.22222,5545130.78272,5727123.50879,21153,21153,138,13.4,1.2464286144,0.408329,0.3955078125,most_delayed,30,0,307,16009509,13462018,0.000448,0.256251,0.2998046875,2559032,19.009274835318152,8.683065522868903,0.407881,True,619,717,21729.365105008077,22328.464435146445,599.0993301383678,2.6831192618662425,True
Hop20Rep1-13_gamma50_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,634,2128,29471527,8321757,7784947,0.152114,0.30048,9.4e-05,5250095.75237,5630693.38644,5727123.50879,21153,21153,138,13.4,1.2464286144,0.45259400000000005,0.619140625,random,10,0,102,25111070,4360457,0.000114,0.444341,0.099609375,16789313,385.03562814631584,56.96791007808994,0.45248000000000005,True,390,922,21337.83846153846,27235.433839479392,5897.595377940932,21.65412679930222,True
Hop20Rep1-13_gamma50_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,634,2128,29471527,8321757,7784947,0.152114,0.30048,9.4e-05,5250095.75237,5630693.38644,5727123.50879,21153,21153,138,13.4,1.2464286144,0.45259400000000005,0.619140625,random,30,0,307,17285462,12186065,0.00018,0.285797,0.2998046875,8963705,73.55700958430798,30.414796627266718,0.45241400000000004,True,390,717,21337.83846153846,24108.036262203626,2770.197800665166,11.490765031775975,True
Hop20Rep1-13_gamma50_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,634,2128,29471527,8321757,7784947,0.152114,0.30048,9.4e-05,5250095.75237,5630693.38644,5727123.50879,21153,21153,138,13.4,1.2464286144,0.45259400000000005,0.619140625,most_delayed,10,0,102,24060133,5411394,0.000405,0.410506,0.099609375,15738376,290.837739776479,53.40196997597037,0.45218900000000006,True,390,922,21337.83846153846,26095.588937093275,4757.750475554814,18.232010348660747,True
Hop20Rep1-13_gamma50_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,634,2128,29471527,8321757,7784947,0.152114,0.30048,9.4e-05,5250095.75237,5630693.38644,5727123.50879,21153,21153,138,13.4,1.2464286144,0.45259400000000005,0.619140625,most_delayed,30,0,307,16009509,13462018,0.000448,0.256251,0.2998046875,7687752,57.106980543333094,26.085353500685592,0.45214600000000005,True,390,717,21337.83846153846,22328.464435146445,990.6259736079846,4.436605913878589,True
Hop20Rep1-13_gamma50_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,428,6491,29471527,12698097,13149690,0.159284,0.269485,9.5e-05,6273105.65421,5585211.10047,5727123.50879,21153,21153,138,13.4,1.2464286144,0.42876899999999996,0.41796875,random,10,0,102,25111070,4360457,0.000114,0.444341,0.099609375,12412973,284.6713773349903,42.11852680724687,0.42865499999999995,True,596,922,21305.53187919463,27235.433839479392,5929.901960284762,21.772746471506593,True
Hop20Rep1-13_gamma50_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,428,6491,29471527,12698097,13149690,0.159284,0.269485,9.5e-05,6273105.65421,5585211.10047,5727123.50879,21153,21153,138,13.4,1.2464286144,0.42876899999999996,0.41796875,random,30,0,307,17285462,12186065,0.00018,0.285797,0.2998046875,4587365,37.644350329659325,15.565413356423644,0.42858899999999994,True,596,717,21305.53187919463,24108.036262203626,2802.5043830089962,11.624772555211138,True
