hop,rep,gamma,removal_mode,selection_method,baseline_fraction,rows,win_rate,mean_value_vs_baseline,median_value_vs_baseline,mean_pct_vs_baseline_reduction,mean_pct_of_total_before,mean_tdg_selection_sec,mean_baseline_select_sec,mean_time_extra_vs_baseline_sec,mean_tdg_selected_fraction,mean_baseline_selected_fraction,avg_tt_win_rate,mean_avg_query_tt_value_vs_baseline,median_avg_query_tt_value_vs_baseline,mean_pct_avg_query_tt_vs_baseline,mean_tdg_remaining_avg_query_tt,mean_baseline_remaining_avg_query_tt
10,4,50,all_nodes,most_delayed,30,20,1.0,9747983.2,10109222.0,15.534744366163599,7.102803241882038,1.7210023499999998,0.0019450499999999998,1.7190573,0.4444091796875,0.2998046875,0.05,-2357.6804433070683,-2090.7953326828047,-9.541667091897626,27650.560028383778,25292.87958507671
10,4,50,all_nodes,random,10,20,1.0,55808091.15,55747042.0,358.03755641776206,41.612232504996214,1.7210023499999998,0.00041995,1.7205824,0.4444091796875,0.099853515625,1.0,4516.536961038517,4749.744458145926,14.265489795640496,27650.560028383778,32167.09698942229
10,4,50,all_nodes,random,30,20,1.0,25219179.85,24302229.5,54.712811928603784,18.785000090052932,1.7210023499999998,0.0006168,1.72038555,0.4444091796875,0.2998046875,1.0,3036.739588073685,2999.1574987197528,10.07909761921631,27650.560028383778,30687.299616457465
10,4,50,anchor_important,most_delayed,10,20,1.0,48222888.95,48974466.5,203.71769769380836,35.91567296375872,1.7489438,0.0017604499999999998,1.7471833499999998,0.4475830078125,0.099853515625,1.0,2379.9916280105626,2683.810611216897,8.11471479067612,27615.487419995945,29995.47904800651
10,4,50,anchor_important,most_delayed,30,20,1.0,10169536.35,10313313.0,16.246221757873677,7.4381804319278855,1.7489438,0.0019450499999999998,1.74699875,0.4475830078125,0.2998046875,0.05,-2322.607834919238,-2003.1378314057747,-9.363100816107202,27615.487419995945,25292.87958507671
10,4,50,anchor_important,random,10,20,1.0,56229644.3,55612693.5,360.7593408916482,41.94760969504206,1.7489438,0.00041995,1.7485238500000002,0.4475830078125,0.099853515625,1.0,4551.609569426348,4779.221153304419,14.40247615286395,27615.487419995945,32167.09698942229
10,4,50,anchor_important,random,30,20,1.0,25640733.0,24454993.5,55.65074925209681,19.120377280098783,1.7489438,0.0006168,1.7483270000000002,0.4475830078125,0.2998046875,1.0,3071.812196461515,3187.60862266231,10.227703534695294,27615.487419995945,30687.299616457465
10,4,50,congestion_important,most_delayed,10,20,0.7,35286203.7,57433379.5,154.2706794943628,27.390208770407334,1.51810355,0.0017604499999999998,1.5163430999999998,0.41038818359375,0.099853515625,0.4,263.7917803537719,-898.6931284941966,1.4571029409078182,29731.687267652735,29995.47904800651
10,4,50,congestion_important,most_delayed,30,20,0.55,-2767148.9,16155778.5,-2.8279658940424026,-1.0872837614235031,1.51810355,0.0019450499999999998,1.5161585,0.41038818359375,0.2998046875,0.1,-4438.807682576028,-5392.875420495628,-17.23239394758701,29731.687267652735,25292.87958507671
10,4,50,congestion_important,random,10,20,0.75,43292959.05,66543851.5,284.8024652853346,33.42214550169068,1.51810355,0.00041995,1.5176836,0.41038818359375,0.099853515625,0.9,2435.409721769557,1294.6592544006435,8.214106399450849,29731.687267652735,32167.09698942229
10,4,50,congestion_important,random,30,20,0.55,12704047.75,34716952.5,30.396198443967045,10.594913086747393,1.51810355,0.0006168,1.51748675,0.41038818359375,0.2998046875,0.45,955.6123488047244,-373.73334081763096,3.75892317211274,29731.687267652735,30687.299616457465
10,4,75,all_nodes,most_delayed,10,20,1.0,84233544.85,86264708.0,356.0912989571217,62.76383808539841,2.25232055,0.0017604499999999998,2.2505601,0.689111328125,0.099853515625,1.0,9211.735071738367,9800.305335952955,31.183154361442945,20783.743976268142,29995.47904800651
10,4,75,all_nodes,most_delayed,30,20,1.0,46180192.25,47261159.5,74.50537803595151,34.28634555356758,2.25232055,0.0019450499999999998,2.2503754999999996,0.689111328125,0.2998046875,0.95,4509.135608808566,4841.852307209777,18.147984528498434,20783.743976268142,25292.87958507671
